Periodo,Ciclo,Grado,Matrícula,Evaluados
Septiembre,Primer ciclo,Primero,139200,129709
Septiembre,Primer ciclo,Segundo,143965,135802
Septiembre,Primer ciclo,Tercero,154003,146376
Septiembre,Segundo ciclo,Cuarto,151017,140775
Septiembre,Segundo ciclo,Quinto,155873,146520
Septiembre,Segundo ciclo,Sexto,148853,140569
Noviembre,Primer ciclo,Primero,136159,129274
Noviembre,Primer ciclo,Segundo,140791,135025
Noviembre,Primer ciclo,Tercero,150879,145460
Noviembre,Segundo ciclo,Cuarto,145859,136878
Noviembre,Segundo ciclo,Quinto,152177,142179
Noviembre,Segundo ciclo,Sexto,145301,137134
Marzo,Primer ciclo,Primero,136157,129896
Marzo,Primer ciclo,Segundo,140922,135058
Marzo,Primer ciclo,Tercero,151666,145798
Marzo,Segundo ciclo,Cuarto,148078,138604
Marzo,Segundo ciclo,Quinto,153859,144454
Marzo,Segundo ciclo,Sexto,146774,138579
